meter_id,tariff_zone_id,measured_at,consumption_kwh,voltage_v,power_factor,quality_flag
1,1,2025-01-01 00:00:00,6.5861,221.24,0.954,valid
2,1,2025-01-01 00:00:00,5.5061,223.56,0.987,valid
3,1,2025-01-01 00:00:00,4.9529,225.67,0.96,valid
4,1,2025-01-01 00:00:00,4.4387,223.04,0.99,valid
5,1,2025-01-01 00:00:00,4.1406,231.77,0.978,valid
6,1,2025-01-01 00:00:00,3.7739,221.61,0.948,valid
7,1,2025-01-01 00:00:00,3.8584,220.49,0.959,valid
8,1,2025-01-01 00:00:00,3.387,229.0,0.984,valid
9,1,2025-01-01 00:00:00,3.2516,220.71,0.971,valid
10,1,2025-01-01 00:00:00,2.974,229.72,0.948,valid
11,1,2025-01-01 00:00:00,2.8395,231.81,0.976,valid
12,1,2025-01-01 00:00:00,2.6357,229.47,0.957,valid
13,1,2025-01-01 00:00:00,2.4695,231.81,0.947,valid
14,1,2025-01-01 00:00:00,2.4709,224.08,0.943,valid
1,1,2025-01-01 01:00:00,6.583,225.7,0.924,valid
2,1,2025-01-01 01:00:00,5.1622,224.3,0.919,valid
3,1,2025-01-01 01:00:00,4.9263,227.12,0.989,valid
4,1,2025-01-01 01:00:00,4.5076,229.0,0.99,valid
5,1,2025-01-01 01:00:00,4.3245,227.02,0.953,valid
6,1,2025-01-01 01:00:00,3.9366,229.39,0.984,valid
7,1,2025-01-01 01:00:00,3.8317,229.75,0.912,valid
8,1,2025-01-01 01:00:00,3.3766,219.22,0.957,valid
9,1,2025-01-01 01:00:00,3.167,225.85,0.979,valid
10,1,2025-01-01 01:00:00,2.8857,228.2,0.957,valid
11,1,2025-01-01 01:00:00,2.6278,231.7,0.914,valid
12,1,2025-01-01 01:00:00,2.522,225.5,0.958,valid
13,1,2025-01-01 01:00:00,2.6529,225.72,0.981,valid
14,1,2025-01-01 01:00:00,2.5216,224.74,0.922,valid
1,1,2025-01-01 02:00:00,6.7802,224.5,0.987,valid
2,1,2025-01-01 02:00:00,5.5521,227.24,0.964,valid
3,1,2025-01-01 02:00:00,5.4718,225.8,0.95,valid
4,1,2025-01-01 02:00:00,5.088,221.97,0.966,valid
5,1,2025-01-01 02:00:00,4.6991,228.2,0.948,valid
6,1,2025-01-01 02:00:00,4.1665,228.86,0.932,valid
7,1,2025-01-01 02:00:00,4.2516,231.82,0.972,valid
8,1,2025-01-01 02:00:00,3.7575,230.0,0.941,valid
9,1,2025-01-01 02:00:00,3.4394,226.0,0.962,valid
10,1,2025-01-01 02:00:00,3.3694,225.74,0.943,valid
11,1,2025-01-01 02:00:00,3.0892,222.54,0.959,valid
12,1,2025-01-01 02:00:00,2.6819,219.83,0.979,valid
13,1,2025-01-01 02:00:00,2.7411,223.78,0.914,valid
14,1,2025-01-01 02:00:00,2.9461,222.6,0.914,valid
1,1,2025-01-01 03:00:00,6.673,231.35,0.916,valid
2,1,2025-01-01 03:00:00,5.8021,225.48,0.973,valid
3,1,2025-01-01 03:00:00,5.136,229.55,0.932,valid
4,1,2025-01-01 03:00:00,4.9581,230.98,0.957,valid
5,1,2025-01-01 03:00:00,4.3714,227.34,0.945,valid
6,1,2025-01-01 03:00:00,4.4589,228.98,0.919,valid
7,1,2025-01-01 03:00:00,4.1442,227.01,0.984,valid
8,1,2025-01-01 03:00:00,3.8203,226.61,0.972,valid
