object_id,measured_at,temperature_c,irradiation_w_m2
1,2025-01-01 00:00:00,-9.76,0.13
1,2025-01-01 01:00:00,-10.06,27.62
1,2025-01-01 02:00:00,-8.17,0.0
1,2025-01-01 03:00:00,-9.24,25.83
1,2025-01-01 04:00:00,-7.28,0.77
1,2025-01-01 05:00:00,-6.92,0.0
1,2025-01-01 06:00:00,-7.04,26.04
1,2025-01-01 07:00:00,-5.31,37.15
1,2025-01-01 08:00:00,-4.52,36.82
1,2025-01-01 09:00:00,-0.94,36.87
1,2025-01-01 10:00:00,-1.38,51.67
1,2025-01-01 11:00:00,0.12,110.37
1,2025-01-01 12:00:00,-2.18,84.97
1,2025-01-01 13:00:00,-1.02,60.36
1,2025-01-01 14:00:00,-1.36,85.04
1,2025-01-01 15:00:00,-3.16,51.58
1,2025-01-01 16:00:00,-1.77,29.03
1,2025-01-01 17:00:00,-2.25,31.86
1,2025-01-01 18:00:00,-5.11,0.0
1,2025-01-01 19:00:00,-2.94,19.27
1,2025-01-01 20:00:00,-5.52,0.0
1,2025-01-01 21:00:00,-7.55,1.85
1,2025-01-01 22:00:00,-7.97,10.26
1,2025-01-01 23:00:00,-9.8,14.02
1,2025-01-02 00:00:00,-9.41,5.02
1,2025-01-02 01:00:00,-7.57,0.0
1,2025-01-02 02:00:00,-9.8,13.68
1,2025-01-02 03:00:00,-7.34,13.41
1,2025-01-02 04:00:00,-9.55,0.0
1,2025-01-02 05:00:00,-8.05,23.43
1,2025-01-02 06:00:00,-4.86,14.16
1,2025-01-02 07:00:00,-4.23,36.34
1,2025-01-02 08:00:00,-2.8,74.77
1,2025-01-02 09:00:00,-2.41,47.84
1,2025-01-02 10:00:00,-0.66,99.48
1,2025-01-02 11:00:00,-2.68,111.67
1,2025-01-02 12:00:00,-0.92,117.27
1,2025-01-02 13:00:00,-0.69,67.07
1,2025-01-02 14:00:00,-1.5,64.86
1,2025-01-02 15:00:00,-3.21,56.59
1,2025-01-02 16:00:00,-3.27,67.14
1,2025-01-02 17:00:00,-0.95,45.39
1,2025-01-02 18:00:00,-1.94,0.0
1,2025-01-02 19:00:00,-3.89,20.99
1,2025-01-02 20:00:00,-4.28,0.0
1,2025-01-02 21:00:00,-7.47,0.0
1,2025-01-02 22:00:00,-8.73,2.27
1,2025-01-02 23:00:00,-6.4,0.0
1,2025-01-03 00:00:00,-9.73,24.89
1,2025-01-03 01:00:00,-8.69,0.0
1,2025-01-03 02:00:00,-10.52,0.0
1,2025-01-03 03:00:00,-7.07,19.67
1,2025-01-03 04:00:00,-9.12,0.0
