measured_at,tariff_zone,forecast_kwh,tariff_price_uah_per_kwh,forecast_cost_uah
2026-01-01 00:00:00,night,56.20357709854496,2.64,148.3774435401587
2026-01-01 01:00:00,night,53.35110583730159,2.64,140.8469194104762
2026-01-01 02:00:00,night,55.32618510317455,2.64,146.06112867238082
2026-01-01 03:00:00,night,55.62137681117725,2.64,146.84043478150795
2026-01-01 04:00:00,night,54.27527547321427,2.64,143.2867272492857
2026-01-01 05:00:00,night,57.06234771792328,2.64,150.64459797531748
2026-01-01 06:00:00,night,75.1189011934524,2.64,198.31389915071435
2026-01-01 07:00:00,half_peak,71.9490489884259,5.28,379.8909786588888
2026-01-01 08:00:00,peak,109.26310237698415,7.92,865.3637708257145
2026-01-01 09:00:00,peak,105.9323757797619,7.92,838.9844161757143
2026-01-01 10:00:00,peak,105.85197262301587,7.92,838.3476231742857
2026-01-01 11:00:00,half_peak,106.85787851289682,5.28,564.2095985480952
2026-01-01 12:00:00,half_peak,107.8279408759921,5.28,569.3315278252383
2026-01-01 13:00:00,half_peak,108.85343693253971,5.28,574.7461470038097
2026-01-01 14:00:00,half_peak,107.34593859027783,5.28,566.786555756667
2026-01-01 15:00:00,half_peak,108.37359818849208,5.28,572.2125984352382
2026-01-01 16:00:00,half_peak,109.25736694841275,5.28,576.8788974876194
2026-01-01 17:00:00,half_peak,107.87969541898146,5.28,569.6047918122221
2026-01-01 18:00:00,half_peak,89.96163251025128,5.28,474.99741965412676
2026-01-01 19:00:00,half_peak,88.6210795952381,5.28,467.9193002628572
2026-01-01 20:00:00,peak,88.47773337103176,7.92,700.7436482985715
2026-01-01 21:00:00,peak,90.50249049801589,7.92,716.7797247442858
2026-01-01 22:00:00,half_peak,74.01826276388887,5.28,390.81642739333324
2026-01-01 23:00:00,night,75.30141241666665,2.64,198.79572877999996
2026-01-02 00:00:00,night,56.97527363591269,2.64,150.41472239880952
2026-01-02 01:00:00,night,56.44995896031747,2.64,149.0278916552381
2026-01-02 02:00:00,night,56.06835578769843,2.64,148.02045927952386
2026-01-02 03:00:00,night,56.61108611210318,2.64,149.4532673359524
2026-01-02 04:00:00,night,55.41537535912696,2.64,146.2965909480952
2026-01-02 05:00:00,night,56.42293355257936,2.64,148.9565445788095
2026-01-02 06:00:00,night,74.68632931117729,2.64,197.17190938150804
2026-01-02 07:00:00,half_peak,74.27202461649232,5.28,392.15628997507946
2026-01-02 08:00:00,peak,106.43566561111116,7.92,842.9704716400004
2026-01-02 09:00:00,peak,107.77597103670638,7.92,853.5856906107146
2026-01-02 10:00:00,peak,107.1314841130952,7.92,848.4813541757139
2026-01-02 11:00:00,half_peak,107.13505683134923,5.28,565.673100069524
2026-01-02 12:00:00,half_peak,107.67909117658725,5.28,568.5456014123807
2026-01-02 13:00:00,half_peak,108.87883289186507,5.28,574.8802376690476
2026-01-02 14:00:00,half_peak,107.44294487929889,5.28,567.2987489626981
2026-01-02 15:00:00,half_peak,105.38327490013234,5.28,556.4236914726988
2026-01-02 16:00:00,half_peak,109.00735432473539,5.28,575.5588308346029
2026-01-02 17:00:00,half_peak,109.38574380654762,5.28,577.5567272985714
2026-01-02 18:00:00,half_peak,88.70865115972218,5.28,468.38167812333313
2026-01-02 19:00:00,half_peak,88.97639058134922,5.28,469.7953422695239
2026-01-02 20:00:00,peak,88.41700126190473,7.92,700.2626499942854
2026-01-02 21:00:00,peak,88.95764152182541,7.92,704.5445208528572
2026-01-02 22:00:00,half_peak,75.95189374669313,5.28,401.02599898253976
2026-01-02 23:00:00,night,72.92025882151874,2.64,192.5094832888095
2026-01-03 00:00:00,night,51.89550667890212,2.64,137.00413763230162
2026-01-03 01:00:00,night,52.259474759920664,2.64,137.96501336619056
2026-01-03 02:00:00,night,52.01975872420636,2.64,137.3321630319048
2026-01-03 03:00:00,night,53.21258011706352,2.64,140.48121150904768
2026-01-03 04:00:00,night,52.9881055949074,2.64,139.88859877055555
2026-01-03 05:00:00,night,51.989815177579366,2.64,137.25311206880954
2026-01-03 06:00:00,night,52.14361179166665,2.64,137.65913512999995
2026-01-03 07:00:00,half_peak,52.22506261309523,5.28,275.74833059714285
2026-01-03 08:00:00,peak,52.76501617956351,7.92,417.898928142143
2026-01-03 09:00:00,peak,71.50250372023807,7.92,566.2998294642855
2026-01-03 10:00:00,peak,70.54776782870367,7.92,558.738321203333
2026-01-03 11:00:00,half_peak,71.1334589699074,5.28,375.58466336111104
2026-01-03 12:00:00,half_peak,70.30813897982804,5.28,371.22697381349207
2026-01-03 13:00:00,half_peak,69.85245305158728,5.28,368.82095211238084
2026-01-03 14:00:00,half_peak,70.59454773743387,5.28,372.7392120536509
2026-01-03 15:00:00,half_peak,69.49428240079364,5.28,366.92981107619045
2026-01-03 16:00:00,half_peak,71.1553462132937,5.28,375.70022800619074
2026-01-03 17:00:00,half_peak,69.77928622619048,5.28,368.4346312742857
2026-01-03 18:00:00,half_peak,70.83998850198412,5.28,374.0351392904762
2026-01-03 19:00:00,half_peak,51.616628954365055,5.28,272.5358008790475
2026-01-03 20:00:00,peak,52.51679316236771,7.92,415.9330018459523
2026-01-03 21:00:00,peak,52.66965179728838,7.92,417.14364223452395
2026-01-03 22:00:00,half_peak,52.7648032202381,5.28,278.5981610028572
2026-01-03 23:00:00,night,52.34342091269841,2.64,138.18663120952382
2026-01-04 00:00:00,night,52.93107509424601,2.64,139.7380382488095
2026-01-04 01:00:00,night,53.42259941865078,2.64,141.03566246523806
2026-01-04 02:00:00,night,53.04305615773811,2.64,140.0336682564286
2026-01-04 03:00:00,night,52.8239401550926,2.64,139.45520200944446
2026-01-04 04:00:00,night,51.911058795634894,2.64,137.04519522047613
2026-01-04 05:00:00,night,52.32943949603175,2.64,138.14972026952384
2026-01-04 06:00:00,night,52.200202646494695,2.64,137.808534986746
2026-01-04 07:00:00,half_peak,52.4448243095238,5.28,276.90867235428567
2026-01-04 08:00:00,peak,53.65934067096562,7.92,424.9819781140477
2026-01-04 09:00:00,peak,70.14995581746032,7.92,555.5876500742858
2026-01-04 10:00:00,peak,70.43769531349206,7.92,557.866546882857
2026-01-04 11:00:00,half_peak,69.75131831051587,5.28,368.2869606795238
2026-01-04 12:00:00,half_peak,70.18346298214284,5.28,370.56868454571423
2026-01-04 13:00:00,half_peak,72.68383567261904,5.28,383.77065235142857
2026-01-04 14:00:00,half_peak,72.79975444940479,5.28,384.3827034928573
2026-01-04 15:00:00,half_peak,73.01138350595238,5.28,385.5001049114286
2026-01-04 16:00:00,half_peak,72.3981585446429,5.28,382.26227711571454
2026-01-04 17:00:00,half_peak,70.89321100264551,5.28,374.31615409396835
2026-01-04 18:00:00,half_peak,72.5420161706349,5.28,383.02184538095224
2026-01-04 19:00:00,half_peak,51.92148050793651,5.28,274.1454170819048
2026-01-04 20:00:00,peak,52.06099229960321,7.92,412.3230590128574
2026-01-04 21:00:00,peak,53.08296583134922,7.92,420.4170893842858
2026-01-04 22:00:00,half_peak,51.593967839285725,5.28,272.41615019142864
2026-01-04 23:00:00,night,52.08345255952382,2.64,137.5003147571429
2026-01-05 00:00:00,night,55.45233115277775,2.64,146.39415424333328
2026-01-05 01:00:00,night,53.62261114880952,2.64,141.56369343285712
2026-01-05 02:00:00,night,53.74768111507937,2.64,141.89387814380953
2026-01-05 03:00:00,night,54.697003067460315,2.64,144.40008809809524
2026-01-05 04:00:00,night,53.315825081349196,2.64,140.7537782147619
2026-01-05 05:00:00,night,54.005613704365075,2.64,142.5748201795238
2026-01-05 06:00:00,night,72.56265509358464,2.64,191.56540944706344
2026-01-05 07:00:00,half_peak,72.43298539980157,5.28,382.4461629109523
2026-01-05 08:00:00,peak,107.71574661111111,7.92,853.10871316
2026-01-05 09:00:00,peak,107.3179036954365,7.92,849.957797267857
2026-01-05 10:00:00,peak,107.14286728670635,7.92,848.5715089107142
2026-01-05 11:00:00,half_peak,107.0766752410714,5.28,565.364845272857
2026-01-05 12:00:00,half_peak,106.29272763690474,5.28,561.2256019228571
2026-01-05 13:00:00,half_peak,107.4039337123016,5.28,567.0927700009524
2026-01-05 14:00:00,half_peak,109.17662617328044,5.28,576.4525861949207
2026-01-05 15:00:00,half_peak,108.63388669444444,5.28,573.5869217466667
2026-01-05 16:00:00,half_peak,109.45271190079367,5.28,577.9103188361906
2026-01-05 17:00:00,half_peak,110.79829876256622,5.28,585.0150174663497
2026-01-05 18:00:00,half_peak,87.62717565939153,5.28,462.6714874815873
2026-01-05 19:00:00,half_peak,86.82192180489422,5.28,458.4197471298415
2026-01-05 20:00:00,peak,89.22498175396828,7.92,706.6618554914288
2026-01-05 21:00:00,peak,88.55804751911974,7.92,701.3797363514283
2026-01-05 22:00:00,half_peak,73.65104058035719,5.28,388.877494264286
2026-01-05 23:00:00,night,72.73767390972226,2.64,192.02745912166677
2026-01-06 00:00:00,night,56.65901320370368,2.64,149.57979485777773
2026-01-06 01:00:00,night,56.49944450793654,2.64,149.15853350095247
2026-01-06 02:00:00,night,54.427166063161366,2.64,143.687718406746
2026-01-06 03:00:00,night,58.118096559523806,2.64,153.43177491714286
2026-01-06 04:00:00,night,56.855655777777784,2.64,150.09893125333335
2026-01-06 05:00:00,night,61.693437897817454,2.64,162.87067605023807
2026-01-06 06:00:00,night,73.702542380291,2.64,194.57471188396826
2026-01-06 07:00:00,half_peak,74.13204131382275,5.28,391.41717813698415
2026-01-06 08:00:00,peak,109.35506353174604,7.92,866.0921031714287
2026-01-06 09:00:00,peak,105.59718918353178,7.92,836.3297383335718
2026-01-06 10:00:00,peak,108.64189961607146,7.92,860.4438449592859
2026-01-06 11:00:00,half_peak,108.07332316269843,5.28,570.6271462990477
2026-01-06 12:00:00,half_peak,109.8727676607143,5.28,580.1282132485716
2026-01-06 13:00:00,half_peak,108.65474251289682,5.28,573.6970404680952
2026-01-06 14:00:00,half_peak,108.67293822023811,5.28,573.7931138028572
2026-01-06 15:00:00,half_peak,108.2497579652778,5.28,571.5587220566667
2026-01-06 16:00:00,half_peak,110.0805230744048,5.28,581.2251618328573
2026-01-06 17:00:00,half_peak,110.35591315277775,5.28,582.6792214466665
2026-01-06 18:00:00,half_peak,87.36687968253968,5.28,461.29712472380953
2026-01-06 19:00:00,half_peak,88.94169107242062,5.28,469.6121288623809
2026-01-06 20:00:00,peak,88.5657872450397,7.92,701.4410349807144
2026-01-06 21:00:00,peak,89.26436483134924,7.92,706.973769464286
2026-01-06 22:00:00,half_peak,74.95169704166669,5.28,395.7449603800001
2026-01-06 23:00:00,night,72.34844184523809,2.64,190.99988647142857
2026-01-07 00:00:00,night,56.47204155952383,2.64,149.08618971714293
2026-01-07 01:00:00,night,55.44250118452381,2.64,146.36820312714286
2026-01-07 02:00:00,night,57.52348746990743,2.64,151.86200692055561
2026-01-07 03:00:00,night,57.20912686375663,2.64,151.03209492031752
2026-01-07 04:00:00,night,56.433761781415335,2.64,148.9851311029365
2026-01-07 05:00:00,night,56.61998732506613,2.64,149.4767665381746
2026-01-07 06:00:00,night,73.32509576455028,2.64,193.57825281841275
2026-01-07 07:00:00,half_peak,76.0235790902777,5.28,401.4044975966663
2026-01-07 08:00:00,peak,105.73025368650796,7.92,837.3836091971431
2026-01-07 09:00:00,peak,107.63940115575397,7.92,852.5040571535715
2026-01-07 10:00:00,peak,108.83739151488099,7.92,861.9921407978575
2026-01-07 11:00:00,half_peak,107.01342560515869,5.28,565.0308871952379
