timestamp,load_kwh,irradiation_w_m2,temperature_c,tariff_zone,tariff_price_uah_per_kwh,day_ahead_load_forecast_kwh
2025-04-07 00:00:00,56.5722,21.92,4.82,night,2.64,56.20357709854496
2025-04-07 01:00:00,53.9133,15.07,3.95,night,2.64,53.35110583730159
2025-04-07 02:00:00,51.3508,0.0,5.71,night,2.64,55.32618510317455
2025-04-07 03:00:00,53.8462,23.7,5.49,night,2.64,55.62137681117725
2025-04-07 04:00:00,50.6032,6.59,7.32,night,2.64,54.27527547321427
2025-04-07 05:00:00,53.8251,24.44,7.69,night,2.64,57.06234771792328
2025-04-07 06:00:00,75.3787,0.0,8.66,night,2.64,75.1189011934524
2025-04-07 07:00:00,70.5858,145.74,8.14,half_peak,5.28,71.9490489884259
2025-04-07 08:00:00,109.4147,312.23,9.08,peak,7.92,109.26310237698416
2025-04-07 09:00:00,108.4612,393.7,10.05,peak,7.92,105.9323757797619
2025-04-07 10:00:00,100.597,473.36,11.12,peak,7.92,105.85197262301588
2025-04-07 11:00:00,95.8128,587.57,11.5,half_peak,5.28,106.85787851289682
2025-04-07 12:00:00,109.8942,551.27,13.9,half_peak,5.28,107.8279408759921
2025-04-07 13:00:00,104.4657,535.88,13.22,half_peak,5.28,108.85343693253972
2025-04-07 14:00:00,105.1942,503.86,13.07,half_peak,5.28,107.34593859027784
2025-04-07 15:00:00,96.0075,422.57,14.37,half_peak,5.28,108.37359818849208
2025-04-07 16:00:00,108.6406,259.21,11.88,half_peak,5.28,109.25736694841277
2025-04-07 17:00:00,108.697,177.93,9.4,half_peak,5.28,107.87969541898146
2025-04-07 18:00:00,87.0243,3.81,10.76,half_peak,5.28,89.96163251025128
2025-04-07 19:00:00,85.1461,22.06,10.22,half_peak,5.28,88.6210795952381
2025-04-07 20:00:00,81.18090000000001,0.0,6.87,peak,7.92,88.47773337103176
2025-04-07 21:00:00,85.8732,2.85,8.38,peak,7.92,90.50249049801587
2025-04-07 22:00:00,69.0777,0.0,7.18,half_peak,5.28,74.01826276388887
2025-04-07 23:00:00,67.6127,3.34,5.26,night,2.64,75.30141241666665
2025-04-08 00:00:00,50.109899999999996,0.0,4.0,night,2.64,56.97527363591269
2025-04-08 01:00:00,55.2882,0.0,4.05,night,2.64,56.44995896031747
2025-04-08 02:00:00,50.533500000000004,17.52,6.95,night,2.64,56.06835578769843
2025-04-08 03:00:00,52.832,12.36,6.42,night,2.64,56.61108611210318
2025-04-08 04:00:00,52.5479,0.0,5.49,night,2.64,55.41537535912696
2025-04-08 05:00:00,57.5989,0.0,8.67,night,2.64,56.42293355257936
2025-04-08 06:00:00,72.9629,0.22,8.41,night,2.64,74.68632931117729
2025-04-08 07:00:00,75.3289,140.02,9.91,half_peak,5.28,74.27202461649232
2025-04-08 08:00:00,102.38300000000001,279.64,8.7,peak,7.92,106.43566561111116
2025-04-08 09:00:00,111.2163,421.86,10.8,peak,7.92,107.77597103670638
2025-04-08 10:00:00,105.0141,529.62,11.44,peak,7.92,107.1314841130952
2025-04-08 11:00:00,108.5344,539.9,12.32,half_peak,5.28,107.13505683134925
2025-04-08 12:00:00,97.6973,565.5,13.76,half_peak,5.28,107.67909117658724
2025-04-08 13:00:00,109.6952,556.46,14.68,half_peak,5.28,108.87883289186507
2025-04-08 14:00:00,109.6482,527.48,15.23,half_peak,5.28,107.44294487929888
2025-04-08 15:00:00,98.3917,427.59,13.68,half_peak,5.28,105.38327490013234
2025-04-08 16:00:00,104.889,266.26,11.52,half_peak,5.28,109.0073543247354
2025-04-08 17:00:00,107.7449,140.19,11.94,half_peak,5.28,109.38574380654762
2025-04-08 18:00:00,80.3147,26.92,11.75,half_peak,5.28,88.70865115972218
2025-04-08 19:00:00,90.9534,0.0,8.44,half_peak,5.28,88.97639058134922
2025-04-08 20:00:00,77.6985,14.47,10.4,peak,7.92,88.41700126190473
2025-04-08 21:00:00,90.4058,11.46,8.16,peak,7.92,88.95764152182541
2025-04-08 22:00:00,66.6305,18.11,7.24,half_peak,5.28,75.95189374669313
2025-04-08 23:00:00,71.0539,0.0,5.15,night,2.64,72.92025882151874
2025-04-09 00:00:00,54.6527,4.84,6.12,night,2.64,51.89550667890212
2025-04-09 01:00:00,56.5602,17.6,4.01,night,2.64,52.25947475992066
2025-04-09 02:00:00,50.7367,23.37,5.09,night,2.64,52.01975872420636
2025-04-09 03:00:00,53.1529,0.0,7.42,night,2.64,53.21258011706352
2025-04-09 04:00:00,52.0021,0.0,7.16,night,2.64,52.9881055949074
2025-04-09 05:00:00,50.4594,0.0,9.21,night,2.64,51.989815177579366
2025-04-09 06:00:00,68.5693,0.0,7.63,night,2.64,52.14361179166665
2025-04-09 07:00:00,69.3586,161.16,10.65,half_peak,5.28,52.22506261309523
2025-04-09 08:00:00,93.9671,275.26,9.61,peak,7.92,52.76501617956351
2025-04-09 09:00:00,98.22319999999999,441.51,11.57,peak,7.92,71.50250372023807
2025-04-09 10:00:00,106.0202,486.91,10.61,peak,7.92,70.54776782870367
2025-04-09 11:00:00,100.0823,595.44,11.48,half_peak,5.28,71.1334589699074
2025-04-09 12:00:00,100.7216,580.09,13.58,half_peak,5.28,70.30813897982804
2025-04-09 13:00:00,98.7653,553.55,14.56,half_peak,5.28,69.85245305158728
2025-04-09 14:00:00,101.3536,517.0,12.22,half_peak,5.28,70.59454773743387
2025-04-09 15:00:00,96.3108,398.86,14.75,half_peak,5.28,69.49428240079364
2025-04-09 16:00:00,109.2965,293.38,13.82,half_peak,5.28,71.1553462132937
2025-04-09 17:00:00,100.1863,165.4,12.37,half_peak,5.28,69.77928622619048
2025-04-09 18:00:00,83.9206,0.0,9.59,half_peak,5.28,70.83998850198412
2025-04-09 19:00:00,83.4715,0.0,10.6,half_peak,5.28,51.616628954365055
2025-04-09 20:00:00,78.4842,0.0,10.27,peak,7.92,52.51679316236771
2025-04-09 21:00:00,79.345,0.0,5.9,peak,7.92,52.66965179728838
2025-04-09 22:00:00,67.455,0.0,7.61,half_peak,5.28,52.7648032202381
2025-04-09 23:00:00,66.15259999999999,0.0,7.32,night,2.64,52.34342091269841
2025-04-10 00:00:00,53.7692,0.0,6.16,night,2.64,52.93107509424601
2025-04-10 01:00:00,54.9286,6.8,7.94,night,2.64,53.42259941865078
