measured_at,total_kwh,average_kwh,deviation_percent
2025-12-30 09:00:00,117.94,74.5,58.32
2025-01-13 17:00:00,117.84,74.5,58.18
2025-01-27 09:00:00,117.51,74.5,57.73
2025-12-29 16:00:00,117.43,74.5,57.63
2025-12-30 15:00:00,117.23,74.5,57.36
2025-01-06 15:00:00,116.94,74.5,56.97
2025-01-02 16:00:00,116.92,74.5,56.95
2025-12-26 16:00:00,116.85,74.5,56.85
2025-12-19 16:00:00,116.63,74.5,56.56
2025-12-25 14:00:00,116.41,74.5,56.27
2025-12-22 14:00:00,116.25,74.5,56.04
2025-01-24 16:00:00,116.23,74.5,56.02
2025-02-21 14:00:00,116.21,74.5,55.99
2025-01-17 13:00:00,116.2,74.5,55.98
2025-12-01 16:00:00,116.15,74.5,55.91
2025-01-10 10:00:00,116.04,74.5,55.76
2025-01-28 16:00:00,115.98,74.5,55.69
2025-01-22 15:00:00,115.82,74.5,55.47
2025-01-22 13:00:00,115.82,74.5,55.47
2025-02-26 14:00:00,115.82,74.5,55.47
